start_time,trip_id,trip_duration
2015-12-31T17:35:00.000,8546790,521
2015-12-31T17:37:00.000,8546793,256
2015-12-31T17:37:00.000,8546795,134
2015-12-31T17:38:00.000,8546797,995
2015-12-31T17:38:00.000,8546798,177
2015-12-31T17:39:00.000,8546799,808
2015-12-31T17:40:00.000,8546803,194
2015-12-31T17:40:00.000,8546805,309
2015-12-31T17:41:00.000,8546813,674
2013-06-30T10:46:00.000,10000,3260
2013-07-24T09:10:00.000,100000,486
2013-11-19T17:38:00.000,1000000,286
2013-11-19T17:39:00.000,1000001,531
2013-11-19T17:39:00.000,1000002,281
2013-11-19T17:39:00.000,1000003,481
2013-11-19T17:39:00.000,1000004,844
2013-11-19T17:39:00.000,1000005,168
2013-11-19T17:39:00.000,1000006,366
2013-11-19T17:39:00.000,1000007,432
2013-11-19T17:39:00.000,1000008,1412
2013-11-19T17:39:00.000,1000009,1082
2013-07-24T09:11:00.000,100001,567
2013-11-19T17:39:00.000,1000010,724
2013-11-19T17:40:00.000,1000011,825
2013-11-19T17:40:00.000,1000012,426
2013-11-19T17:40:00.000,1000013,766
2013-11-19T17:40:00.000,1000014,491
2013-11-19T17:40:00.000,1000015,324
2013-11-19T17:40:00.000,1000016,1163
2013-11-19T17:40:00.000,1000017,414
2013-11-19T17:40:00.000,1000018,247
2013-11-19T17:41:00.000,1000019,897
2013-07-24T09:11:00.000,100002,421
2013-11-19T17:41:00.000,1000020,827
2013-11-19T17:41:00.000,1000022,876
2013-11-19T17:41:00.000,1000023,696
2013-11-19T17:41:00.000,1000024,663
2013-11-19T17:41:00.000,1000025,1619
2013-11-19T17:41:00.000,1000026,764
2013-11-19T17:42:00.000,1000027,1074
2013-11-19T17:42:00.000,1000028,401
2013-11-19T17:42:00.000,1000029,399
2013-07-24T09:11:00.000,100003,1372
2013-11-19T17:42:00.000,1000031,581
2013-11-19T17:42:00.000,1000032,530
2013-11-19T17:42:00.000,1000033,326
2013-11-19T17:42:00.000,1000034,340
2013-11-19T17:43:00.000,1000035,611
2013-11-19T17:43:00.000,1000037,361
2013-11-19T17:43:00.000,1000038,299
2013-07-24T09:11:00.000,100004,1362
2013-11-19T17:44:00.000,1000040,373
2013-11-19T17:44:00.000,1000042,1392
2013-11-19T17:44:00.000,1000043,253
2013-11-19T17:44:00.000,1000044,270
2013-11-19T17:44:00.000,1000045,740
2013-11-19T17:45:00.000,1000047,1475
2013-11-19T17:45:00.000,1000048,606
2013-11-19T17:45:00.000,1000049,1728
2013-07-24T09:12:00.000,100005,777
2013-11-19T17:45:00.000,1000050,632
2013-11-19T17:46:00.000,1000051,1073
2013-11-19T17:46:00.000,1000052,450
